pop,numb_q,numb_tick,perc_q,rec_time,site,lab_time,time_since_min,min_t,sample_t,mean_nt
7,5,15,0.333333333,1500,4,8,13,15,25,16
8,9,15,0.6,1500,4,8,13,15,25,16
9,6,15,0.4,1500,1,28,13,15,25,16
10,5,15,0.333333333,1500,2,22,13,15,25,16
1,3,15,0.2,1000,3,8,8,17.5,17.5,17.5
2,4,15,0.266666667,1000,1,28,8,17.5,17.5,17.5
3,4,15,0.266666667,1000,3,8,8,17.5,17.5,17.5
4,3,15,0.2,1000,3,8,8,17.5,17.5,17.5
5,6,15,0.4,1000,3,8,8,17.5,17.5,17.5
6,5,15,0.333333333,1000,4,8,8,17.5,17.5,17.5
7,6,15,0.4,1000,4,8,8,17.5,17.5,17.5
8,5,15,0.333333333,1000,4,8,8,17.5,17.5,17.5
9,5,15,0.333333333,1000,1,28,8,17.5,17.5,17.5
10,4,15,0.266666667,1000,2,22,8,17.5,17.5,17.5
1,3,15,0.2,1100,3,8,9,17.5,20,17.5
2,4,15,0.266666667,1100,1,28,9,17.5,20,17.5
3,4,15,0.266666667,1100,3,8,9,17.5,20,17.5
4,3,15,0.2,1100,3,8,9,17.5,20,17.5
5,5,15,0.333333333,1100,3,8,9,17.5,20,17.5
6,6,15,0.4,1100,4,8,9,17.5,20,17.5
7,5,15,0.333333333,1100,4,8,9,17.5,20,17.5
8,4,15,0.266666667,1100,4,8,9,17.5,20,17.5
9,6,15,0.4,1100,1,28,9,17.5,20,17.5
10,5,15,0.333333333,1100,2,22,9,17.5,20,17.5
1,2,15,0.133333333,1200,3,8,10,17.5,20,17.5
2,4,15,0.266666667,1200,1,28,10,17.5,20,17.5
3,4,15,0.266666667,1200,3,8,10,17.5,20,17.5
4,3,15,0.2,1200,3,8,10,17.5,20,17.5
5,6,15,0.4,1200,3,8,10,17.5,20,17.5
6,5,15,0.333333333,1200,4,8,10,17.5,20,17.5
7,6,15,0.4,1200,4,8,10,17.5,20,17.5
8,4,15,0.266666667,1200,4,8,10,17.5,20,17.5
9,6,15,0.4,1200,1,28,10,17.5,20,17.5
10,3,15,0.2,1200,2,22,10,17.5,20,17.5
1,2,15,0.133333333,1300,3,8,11,17.5,22.5,17.5
2,3,15,0.2,1300,1,28,11,17.5,22.5,17.5
3,3,15,0.2,1300,3,8,11,17.5,22.5,17.5
4,2,15,0.133333333,1300,3,8,11,17.5,22.5,17.5
5,6,15,0.4,1300,3,8,11,17.5,22.5,17.5
6,5,15,0.333333333,1300,4,8,11,17.5,22.5,17.5
7,4,15,0.266666667,1300,4,8,11,17.5,22.5,17.5
8,6,15,0.4,1300,4,8,11,17.5,22.5,17.5
